Designator,Mid X,Mid Y,Rotation,Layer
SW1,52.251122,-74.850454,340.0,top
SW10,120.916228,-108.345288,340.0,top
SW11,39.254348,-110.558797,340.0,top
SW12,61.177858,-105.900126,340.0,top
SW13,81.154602,-106.543367,340.0,top
SW14,97.445045,-117.338024,340.0,top
SW15,114.41168,-126.216387,340.0,top
SW16,98.059714,-141.96826,325.0,top
SW17,113.42863,-156.108335,310.0,top
SW2,74.209525,-70.072525,340.0,top
SW3,94.163687,-70.801195,340.0,top
SW4,110.448494,-81.5938,340.0,top
SW5,127.429984,-90.507366,340.0,top
SW6,45.752732,-92.704637,340.0,top
SW7,67.685833,-87.996222,340.0,top
SW8,87.659149,-88.672269,340.0,top
SW9,103.949593,-99.466927,340.0,top
U1,132.426387,-125.311261,0.0,top
